"KEY","en","ro","po","ru","en-us"
"did_you_know_that","Did you know that one of the top regrets parents have is that they didn't take and keep enough photos of their kids when they were younger? Add your best Moments today","Știai că unul dintre cele mai mari regrete pe care le au părinții este că nu au făcut și nu au păstrat mai multe fotografii cu copiii lor de când aceștia erau mici? Adaugă cele mai frumoase Momente","Czy wiesz, że rodzice często żałują, że nie robili lub nie zachowali więcej zdjęć z okresu, gdy ich dzieci były małe? Już teraz zacznij  umieszczać je w sekcji ""Chwile"".  ","Знаешь ли ты, что родители больше всего сожалеют о том, что они не сделали и не сохранили достаточно фотографий своих детей, когда они были маленькими?  Пополняй свои Моменты с сегодняшнего дня","Did you know that one of the top regrets parents have is that they didn't take and keep enough photos of their kids when they were younger? Add your best Moments today"
"your_journal_is_a_lot","Your Moments are a lot more fun if you share them with someone you love","Momentele cheie sunt mult mai distractive dacă le împărtășești cu cineva drag","Sekcja ""Chwile"" będzie o wiele ciekawsza, jeśli podzielisz się nią z kimś, kogo kochasz. ","Твои Моменты станут намного веселее, если ты поделишься ими с дорогим человеком.","Your Moments are a lot more fun if you share them with someone you love"
"post_removed","This post was removed.","Postarea a fost ștearsă.","Post został usunięty.","Эта публикация была удалена.","This post was removed."
"parenting","Parenting","Parenting","Parenting","Парентинг","Parenting"
"views__zero","%s views","%s vizualizari","%s wyświetleń","%s просмотров","%s views"
"views__one","%s views","%s vizualizare","%s wyświetlenie","%s просмотр  ","%s views"
"views__two","%s views","%s vizualizari"," %s wyświetlenia","%s просмотра","%s views"
"views__few","%s views","%s vizualizari"," %s wyświetlenia","%s просмотров","%s views"
"views__many","%s views","%s vizualizari","%s wyświetleń","%s просмотров","%s views"
"views__other","%s views","%s de vizualizari"," %s wyświetlenia","%s просмотры","%s views"
"downloads","Downloads","Descărcări","Pobrane","Загрузки","Downloads"
"todo","To Do","De făcut","Do zrobienia","Сделать","To Do"
"episodes_count__zero","No episodes","Niciun episod","Brak odcinków","Нет серий","No episodes"
"episodes_count__one","One episode","Un episod","Jeden odcinek","Одна серия","One episode"
"episodes_count__two","%s episodes","%s episoade","%s odcinki","%s серии","%s episodes"
"episodes_count__few","%s episodes","%s episoade","%s odcinki","%s серий","%s episodes"
"episodes_count__many","%s episodes","%s episoade","%s odcinków","%s серий","%s episodes"
"episodes_count__other","%s episodes","%s de episoade","%s odcinki","%s серии","%s episodes"
"chapters","Chapters","Capitole","Rozdziały","Главы","Chapters"
"chapters_count__zero","No chapters","Niciun capitol","Brak rozdziałów","Нет глав","No chapters"
"chapters_count__one","One chapter","Un capitol","Jeden rozdział","Одна глава","One chapter"
"chapters_count__two","%s chapters","%s capitole"," %s rozdziały","%s Главы","%s chapters"
"chapters_count__few","%s chapters","%s capitole"," %s rozdziały","%s Глав","%s chapters"
"chapters_count__many","%s chapters","%s capitole","%s rozdziałów","%s Глав","%s chapters"
"chapters_count__other","%s chapters","%s de capitole"," %s rozdziały","%s Главы","%s chapters"
"episode_details","Episode details","Detalii episod","Szczegóły odcinka","Детали серии","Episode details"
"unlock_now","Enroll","Înscrie-te","Zapisz się","Записаться","Enroll"
"find_more_info","Find out more information on how to get access to this programme at","Afla mai multe informatii despre cum poti\nsa primesti acces la acest program pe","Dowiedz się więcej o tym, w jaki sposób możesz\notrzymać dostęp do programu na","Узнай больше о том, \nкак получить доступ к этой программе на","Find out more information on how to get access to this programme at"
"i_watched_video","I watched the video (or audio)","Am urmărit acest video","Film został obejrzany","Я смотрел это видео (или аудио)","I watched the video (or audio)"
"i_completed_assignment","I filled in the pages in the Parenting Playbook","Am completat paginile în Agendă","Zrobiłam(-em) ćwiczenia w Dzienniku","Я выполнил задания в Дневнике","I filled in the pages in the Parenting Playbook"
"add_review","Leave a review","Adaugă un review","Dodaj opinię","Оставить отзыв","Leave a review"
"send_review","Send Review","Trimite Review","Wyślij opinię","Отправить отзыв","Send Review"
"all","All","Toate","Wszystko","Все","All"
"episodes","Episodes","Episoade","Odcinki","Серии","Episodes"
"programs","Programs","Programe","Programy","Программы","Programs"
"write_your_experience","Write about your experience with the program","Descrie experiența ta în program","Opisz swoje doświadczenie związane z programem","Напиши о своем опыте участия в программе","Write about your experience with the program"
"sure_completed_assignment","Are you sure you want to mark this assignment as done?","Ești sigur(ă) că vrei să marchezi exercițiul ca terminat?","Czy na pewno chcesz zaznaczyć ćwiczenie jako zrobione?","Ты действительно хочешь отметить это задание как выполненное?","Are you sure you want to mark this assignment as done?"
"no_episode_found","No episode found","Nu s-a găsit niciun episod","Nie znaleziono żadnego odcinka","Серия не найдена","No episode found"
"here_you_can_filter_favorite","You can save your favorite programs here","Aici poți salva programele tale favorite","Tutaj możesz zapisać ulubione programy","Здесь ты можешь сохранить свои любимые программы","You can save your favorite program heres"
"life_partner","Life Partner","Partener de viață","Partner życiowy","Спутник по жизни","Partner"
"add_life_partner","Add as ""Life Partner""","Adaugă ca partener de viață","Dodaj partnera życiowego","Добавить как спутника по жизни","Add as ""Partner"""
"notification_invite_pop_up_title_and_be_life_partner","%s invites you to their family and to be their Life Partner","%s te invită în familia sa și să-i fii partener de viață","%s zaprasza Cię do swojej rodziny jako partnera życiowego","%s приглашает тебя в свою семью стать его/ее спутником жизни","%s invites you to their family and to be their Partner"
"invite_to_be_life_partner","%s invites you to be their Life Partner","%s te invită să-i fii partener de viață","%s zaprasza Cię jako partnera życiowego","%s приглашает тебя стать его/ее спутником жизни","%s invites you to be Life Partner"
"and_be_life_partner"," and to be their Life Partner"," și să-i fii Partener de viață","i żeby być partnerem życiowym","и стать его/ее спутником жизни"," and to be their Partner"
"has_invited_you","invited you to be their Life Partner","te-a invitat să-i fii partener de viață","zaprasza Cię do bycia partnerem życiowym","пригласил тебя стать его/ее спутником по жизни","invited you to be Partner"
"accepted_be_life_partner","accepted the invitation to be your Life Partner","a acceptat invitația de a fi Partener de viață","zaakceptował(a) zaproszenie do bycia partnerem życiowym","принял/а приглашение стать твоим спутником жизни","accepted the invitation to be your Life Partner"
"partner_can_be_added_one_time","Your Partner is the only person that you share your best Moments and your Parenting programs with.","Partenerul de viață este singura persoană cu care împărtășești cele mai bune Momente și programele de Parenting din contul tău.","Partner życiowy jest jedyną osobą, z którą dzielisz dostęp do sekcji ""Chwile"" ze zdjęciami i do programów na swoim koncie.","Спутник по жизни - единственный человек, с которым ты делишься своей папкой Моменты и программой Parenting.","Your Partner is the only person that you share your best Moments and your Parenting programs with."
